apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
00701,K,20230101,004156.57,00831.32,00831.32
00726,K,20230101,000125.25,00025.06,00025.06
00731,K,20230101,000056.50,00011.31,00011.31
00736,K,20230101,000024.52,00004.91,00004.91
00738,K,20230101,000340.86,00068.18,00068.18
00752,K,20230101,000604.79,00120.96,00120.96
00759,K,20230101,000003.74,00000.75,00000.75
00800,K,20230101,001474.18,00294.84,00294.84
00802,K,20230101,000076.41,00015.29,00015.29
00807,K,20230101,003628.26,00725.66,00725.66
00810,K,20230101,000567.93,00113.59,00113.59
00812,K,20230101,000245.96,00049.20,00049.20
00820,K,20230101,000041.64,00008.33,00008.33
00825,K,20230101,000135.28,00027.06,00027.06
00836,K,20230101,000032.57,00006.52,00006.52
00840,K,20230101,000220.66,00044.14,00044.14
00843,K,20230101,023577.01,04715.41,04715.41
00844,K,20230101,002320.12,00464.03,00464.03
00850,K,20230101,000370.18,00074.04,00074.04
00851,K,20230101,000318.17,00063.64,00063.64
00856,K,20230101,022490.02,04498.01,04498.01
00858,K,20230101,000023.04,00004.61,00004.61
00864,K,20230101,000054.88,00010.98,00010.98
00874,K,20230101,000009.79,00001.96,00001.96
00875,K,20230101,000129.58,00025.92,00025.92
00877,K,20230101,000123.64,00024.73,00024.73
00887,K,20230101,000237.38,00047.48,00047.48
00890,K,20230101,003002.83,00600.57,00600.57
00901,K,20230101,000004.59,00000.92,00000.92
00902,K,20230101,000006.32,00001.27,00001.27
00903,K,20230101,001769.57,00353.92,00353.92
00925,K,20230101,000001.10,00000.23,00000.23
00927,K,20230101,000001.44,00000.29,00000.29
00928,K,20230101,000001.58,00000.32,00000.32
00929,K,20230101,000002.25,00000.46,00000.46
00931,K,20230101,000001.23,00000.25,00000.25
00932,K,20230101,000001.65,00000.33,00000.33
00943,K,20230101,000041.07,00008.22,00008.22
00944,K,20230101,000045.55,00009.12,00009.12
00946,K,20230101,000069.43,00013.89,00013.89
00947,K,20230101,000041.53,00008.31,00008.31
00948,K,20230101,000047.80,00009.56,00009.56
00961,K,20230101,000010.55,00002.12,00002.12
00963,K,20230101,000052.77,00010.56,00010.56
00964,K,20230101,000021.11,00004.23,00004.23
00965,K,20230101,000052.77,00010.56,00010.56
01015,K,20230101,000141.56,00028.32,00028.32
01064,K,20230101,000023.73,00004.75,00004.75
01083,K,20230101,001698.61,00339.73,00339.73
01138,K,20230101,000069.43,00013.89,00013.89
01139,K,20230101,000015.09,00003.02,00003.02
