cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
31460,20240101,0.7625,0.7625,0.0000,Madera CA
31540,20240101,0.9628,0.9329,0.0000,Madison WI
31700,20240101,0.9508,0.9378,0.0000,Manchester-Nashua NH
31740,20240101,0.8136,0.8136,0.0000,Manhattan KS
31860,20240101,1.0347,1.0347,0.0000,Mankato MN
31900,20240101,0.8793,0.8412,0.0000,Mansfield OH
32420,20240101,0.3043,0.3043,0.0000,Mayag?ez PR
32580,20240101,0.7584,0.7584,0.0000,McAllen-Edinburg-Mission TX
32780,20240101,1.0730,1.0629,0.0000,Medford OR
32820,20240101,0.8037,0.7769,0.0000,Memphis TN-MS-AR
32900,20240101,1.3174,1.3174,0.0000,Merced CA
33124,20240101,0.9014,0.9014,0.0000,Miami-Miami Beach-Kendall FL
33140,20240101,0.8732,0.8732,0.0000,Michigan City-La Porte IN
33220,20240101,0.8830,0.8830,0.0000,Midland MI
33260,20240101,0.8346,0.8346,0.0000,Midland TX
33340,20240101,0.9528,0.9528,0.0000,Milwaukee-Waukesha WI
33460,20240101,1.0326,1.0198,0.0000,Minneapolis-St. Paul-Bloomington MN-WI
33540,20240101,0.8917,0.8917,0.0000,Missoula MT
33660,20240101,0.7479,0.7265,0.0000,Mobile AL
33700,20240101,1.2576,1.2380,0.0000,Modesto CA
33740,20240101,0.7518,0.7365,0.0000,Monroe LA
33780,20240101,0.8289,0.8289,0.0000,Monroe MI
33860,20240101,0.7850,0.7850,0.0000,Montgomery AL
33874,20240101,0.9543,0.9543,0.0000,Montgomery County-Bucks County-Chester County PA
34060,20240101,0.7373,0.7373,0.0000,Morgantown WV
34100,20240101,0.6807,0.6807,0.0000,Morristown TN
34580,20240101,1.0213,1.0213,0.0000,Mount Vernon-Anacortes WA
34620,20240101,0.9047,0.8628,0.0000,Muncie IN
34740,20240101,0.8984,0.8984,0.0000,Muskegon MI
34820,20240101,0.8173,0.8074,0.0000,Myrtle Beach-Conway-North Myrtle Beach SC-NC
34900,20240101,1.4428,1.4428,0.0000,Napa CA
34940,20240101,0.8295,0.8295,0.0000,Naples-Marco Island FL
34980,20240101,0.8630,0.8451,0.0000,Nashville-Davidson--Murfreesboro--Franklin TN
35004,20240101,1.3188,1.2819,0.0000,Nassau County-Suffolk County NY
35084,20240101,1.1125,1.0672,0.0000,Newark NJ-PA
35100,20240101,0.7380,0.7380,0.0000,New Bern NC
35154,20240101,1.1099,1.1001,0.0000,New Brunswick-Lakewood NJ
35300,20240101,1.1161,1.1161,0.0000,New Haven-Milford CT
35380,20240101,0.8115,0.7858,0.0000,New Orleans-Metairie LA
35614,20240101,1.3562,1.3339,0.0000,New York-Jersey City-White Plains NY-NJ
35660,20240101,0.7586,0.7586,0.0000,Niles MI
35840,20240101,0.8958,0.8626,0.0000,North Port-Sarasota-Bradenton FL
35980,20240101,1.0573,1.0573,0.0000,Norwich-New London CT
36084,20240101,1.8019,1.7722,0.0000,Oakland-Berkeley-Livermore CA
36100,20240101,0.8728,0.8527,0.0000,Ocala FL
36140,20240101,1.0118,0.9697,0.0000,Ocean City NJ
36220,20240101,0.8019,0.8019,0.0000,Odessa TX
36260,20240101,0.8752,0.8752,0.0000,Ogden-Clearfield UT
36420,20240101,0.8631,0.8631,0.0000,Oklahoma City OK
36500,20240101,1.0806,1.0806,0.0000,Olympia-Lacey-Tumwater WA
36540,20240101,0.9352,0.9352,0.0000,Omaha-Council Bluffs NE-IA
36740,20240101,0.8503,0.8503,0.0000,Orlando-Kissimmee-Sanford FL
36780,20240101,0.8860,0.8860,0.0000,Oshkosh-Neenah WI
36980,20240101,0.8318,0.8318,0.0000,Owensboro KY
37100,20240101,1.4074,1.4074,0.0000,Oxnard-Thousand Oaks-Ventura CA
37340,20240101,0.8590,0.8590,0.0000,Palm Bay-Melbourne-Titusville FL
37460,20240101,0.8527,0.8527,0.0000,Panama City FL
