cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,imputedFloorWageIndex,name
01,20210101,0.6671,0.6671,0.6671,,ALABAMA
02,20210101,1.2483,1.2483,1.2383,,ALASKA
03,20210101,0.968,0.968,0.8761,,ARIZONA
04,20210101,0.7178,0.7178,0.7178,,ARKANSAS
05,20210101,1.2753,1.2383,1.2753,,CALIFORNIA
06,20210101,0.9943,0.9151,0.9943,,COLORADO
07,20210101,1.2331,1.2331,1.0275,,CONNECTICUT
10,20210101,0.8171,0.8171,0.8166,,FLORIDA
11,20210101,0.7161,0.7161,0.7161,,GEORGIA
12,20210101,1.2555,1.2555,1.245,,HAWAII
13,20210101,0.9405,0.9405,0.7681,,IDAHO
14,20210101,0.8358,0.8358,0.8289,,ILLINOIS
15,20210101,0.8291,0.8291,0.8291,,INDIANA
16,20210101,0.8302,0.8302,0.8302,,IOWA
17,20210101,0.7709,0.7709,0.7709,,KANSAS
18,20210101,0.7949,0.7949,0.7949,,KENTUCKY
19,20210101,0.7044,0.7044,0.7044,,LOUISIANA
20,20210101,0.861,0.8509,0.861,,MAINE
21,20210101,0.8577,0.8577,0.8577,,MARYLAND
22,20210101,1.3415,1.3415,1.2673,,MASSACHUSETTS
23,20210101,0.8502,0.8502,0.85,,MICHIGAN
24,20210101,0.9089,0.8904,0.9089,,MINNESOTA
25,20210101,0.7339,0.7339,0.7339,,MISSISSIPPI
26,20210101,0.7723,0.7723,0.7723,,MISSOURI
27,20210101,1,0.8568,1,,MONTANA
28,20210101,0.8735,0.8608,0.8735,,NEBRASKA
29,20210101,1.0453,1.0453,1.0453,,NEVADA
30,20210101,1.0363,1.0244,1.0363,,NEW HAMPSHIRE
32,20210101,0.867,0.867,0.867,,NEW MEXICO
33,20210101,0.8726,0.8465,0.8726,,NEW YORK
34,20210101,0.7894,0.7894,0.7894,,NORTH CAROLINA
35,20210101,1,0.863,1,,NORTH DAKOTA
36,20210101,0.8061,0.8061,0.8061,,OHIO
37,20210101,0.7718,0.7718,0.7718,,OKLAHOMA
38,20210101,1.0703,1.0573,1.0703,,OREGON
39,20210101,0.7949,0.7949,0.7943,,PENNSYLVANIA
40,20210101,0.3714,0.3714,0.3714,,PUERTO RICO
42,20210101,0.7986,0.7868,0.7986,,SOUTH CAROLINA
43,20210101,1,0.8001,1,,SOUTH DAKOTA
44,20210101,0.7108,0.7108,0.7108,,TENNESSEE
45,20210101,0.8135,0.8135,0.8135,,TEXAS
46,20210101,1.0286,1.0286,0.8577,,UTAH
47,20210101,0.9633,0.8781,0.9633,,VERMONT
49,20210101,0.764,0.7373,0.764,,VIRGINIA
50,20210101,1.1349,1.1349,1.1035,,WASHINGTON
51,20210101,0.7352,0.7352,0.7352,,WEST VIRGINIA
52,20210101,0.9475,0.9274,0.9475,,WISCONSIN
53,20210101,1,0.9343,1,,WYOMING
98,20210101,1.9343,1.9343,0,,ALASKA INDIAN
99,20210101,1.4448,1.4448,0,,LOWER-48 INDIAN
10180,20210101,0.8371,0.8371,0,,Abilene TX
10380,20210101,0.3121,0.3121,0,,Aguadilla-Isabela PR
10420,20210101,0.8079,0.8079,0,,Akron OH
10500,20210101,0.8108,0.7887,0,,Albany GA
10540,20210101,1.0734,1.0734,0,,Albany-Lebanon OR
10580,20210101,0.8276,0.8276,0,,Albany-Schenectady-Troy NY
10740,20210101,0.8652,0.8652,0,,Albuquerque NM
10780,20210101,0.8502,0.8502,0,,Alexandria LA
10900,20210101,0.9844,0.9642,0,,Allentown-Bethlehem-Easton PA-NJ
11020,20210101,0.8237,0.8237,0,,Altoona PA
11100,20210101,0.8115,0.8004,0,,Amarillo TX
11180,20210101,0.9153,0.8542,0,,Ames IA
11244,20210101,1.2249,1.2113,0,,Anaheim-Santa Ana-Irvine CA
11260,20210101,1.1993,1.1993,0,,Anchorage AK
11460,20210101,1.0016,0.941,0,,Ann Arbor MI
11500,20210101,0.7422,0.7422,0,,Anniston-Oxford AL
11540,20210101,0.9311,0.9311,0,,Appleton WI
11640,20210101,0.3437,0.3437,0,,Arecibo PR
11700,20210101,0.8707,0.8707,0,,Asheville NC
12020,20210101,0.8592,0.8592,0,,Athens-Clarke County GA
12060,20210101,0.9307,0.9172,0,,Atlanta-Sandy Springs-Alpharetta GA
12100,20210101,1.1801,1.1489,0,,Atlantic City-Hammonton NJ
12220,20210101,0.6916,0.6916,0,,Auburn-Opelika AL
12260,20210101,0.852,0.852,0,,Augusta-Richmond County GA-SC
12420,20210101,0.9339,0.9115,0,,Austin-Round Rock-Georgetown TX
12540,20210101,1.1806,1.1806,0,,Bakersfield CA
12580,20210101,0.9403,0.9403,0,,Baltimore-Columbia-Towson MD
12620,20210101,1.0279,1.0062,0,,Bangor ME
12700,20210101,1.2247,1.2247,0,,Barnstable Town MA
12940,20210101,0.7997,0.7997,0,,Baton Rouge LA
12980,20210101,0.8951,0.8828,0,,Battle Creek MI
13020,20210101,0.9504,0.9302,0,,Bay City MI
13140,20210101,0.8614,0.8382,0,,Beaumont-Port Arthur TX
13220,20210101,0.7929,0.7929,0,,Beckley WV
13380,20210101,1.2102,1.2102,0,,Bellingham WA
13460,20210101,1.1097,1.1097,0,,Bend OR
13740,20210101,0.9238,0.9238,0,,Billings MT
13780,20210101,0.8579,0.8579,0,,Binghamton NY
13820,20210101,0.809,0.7828,0,,Birmingham-Hoover AL
13900,20210101,0.8777,0.8777,0,,Bismarck ND
13980,20210101,0.8478,0.7936,0,,Blacksburg-Christiansburg VA
14010,20210101,0.9008,0.8861,0,,Bloomington IL
14020,20210101,0.9276,0.9276,0,,Bloomington IN
14100,20210101,0.854,0.8436,0,,Bloomsburg-Berwick PA
14260,20210101,0.9682,0.9682,0,,Boise City ID
14454,20210101,1.237,1.1922,0,,Boston MA
14500,20210101,1.0444,1.0038,0,,Boulder CO
14540,20210101,0.8371,0.8371,0,,Bowling Green KY
14740,20210101,1.1565,1.0725,0,,Bremerton-Silverdale-Port Orchard WA
14860,20210101,1.2289,1.2289,0,,Bridgeport-Stamford-Norwalk CT
15180,20210101,0.8689,0.8689,0,,Brownsville-Harlingen TX
15260,20210101,0.7509,0.7509,0,,Brunswick GA
15380,20210101,1.0319,0.998,0,,Buffalo-Cheektowaga NY
15500,20210101,0.854,0.854,0,,Burlington NC
15540,20210101,1.0178,1.0178,0,,Burlington-South Burlington VT
15680,20210101,0.8625,0.8625,0,,California-Lexington Park MD
15764,20210101,1.0961,1.0961,0,,Cambridge-Newton-Framingham MA
15804,20210101,1.0925,1.0925,0,,Camden NJ
15940,20210101,0.7927,0.7927,0,,Canton-Massillon OH
15980,20210101,0.9254,0.8975,0,,Cape Coral-Fort Myers FL
16020,20210101,0.7839,0.76,0,,Cape Girardeau MO-IL
16060,20210101,0.8179,0.8006,0,,Carbondale-Marion IL
16180,20210101,0.9719,0.9719,0,,Carson City NV
16220,20210101,0.939,0.939,0,,Casper WY
16300,20210101,0.8514,0.8353,0,,Cedar Rapids IA
16540,20210101,1.1024,1.0874,0,,Chambersburg-Waynesboro PA
16580,20210101,0.8825,0.8825,0,,Champaign-Urbana IL
16620,20210101,0.8469,0.8469,0,,Charleston WV
16700,20210101,0.9025,0.9025,0,,Charleston-North Charleston SC
16740,20210101,0.935,0.9229,0,,Charlotte-Concord-Gastonia NC-SC
16820,20210101,0.9651,0.9343,0,,Charlottesville VA
16860,20210101,0.8289,0.8175,0,,Chattanooga TN-GA
16940,20210101,0.9146,0.9146,0,,Cheyenne WY
16984,20210101,1.035,1.0192,0,,Chicago-Naperville-Evanston IL
17020,20210101,1.1019,1.1019,0,,Chico CA
17140,20210101,0.9258,0.9258,0,,Cincinnati OH-KY-IN
17300,20210101,0.7525,0.7525,0,,Clarksville TN-KY
17420,20210101,0.731,0.731,0,,Cleveland TN
17460,20210101,0.8814,0.8594,0,,Cleveland-Elyria OH
17660,20210101,0.9381,0.9381,0,,Coeur d'Alene ID
17780,20210101,0.8597,0.8597,0,,College Station-Bryan TX
17820,20210101,0.9513,0.9513,0,,Colorado Springs CO
17860,20210101,0.8382,0.8382,0,,Columbia MO
17900,20210101,0.8538,0.8384,0,,Columbia SC
17980,20210101,0.789,0.7545,0,,Columbus GA-AL
18020,20210101,1.132,1.132,0,,Columbus IN
18140,20210101,0.941,0.9243,0,,Columbus OH
18580,20210101,0.9322,0.888,0,,Corpus Christi TX
18700,20210101,1.0872,1.0872,0,,Corvallis OR
18880,20210101,0.8698,0.8342,0,,Crestview-Fort Walton Beach-Destin FL
19060,20210101,0.8859,0.8859,0,,Cumberland MD-WV
19124,20210101,0.9608,0.949,0,,Dallas-Plano-Irving TX
19140,20210101,0.8474,0.8474,0,,Dalton GA
19180,20210101,0.9227,0.9227,0,,Danville IL
19300,20210101,0.7172,0.7172,0,,Daphne-Fairhope-Foley AL
19340,20210101,0.8525,0.8525,0,,Davenport-Moline-Rock Island IA-IL
19430,20210101,0.9209,0.9106,0,,Dayton-Kettering OH
19460,20210101,0.688,0.688,0,,Decatur AL
19500,20210101,0.8478,0.8478,0,,Decatur IL
19660,20210101,0.8066,0.8066,0,,Deltona-Daytona Beach-Ormond Beach FL
19740,20210101,0.9824,0.9824,0,,Denver-Aurora-Lakewood CO
19780,20210101,0.8841,0.8841,0,,Des Moines-West Des Moines IA
19804,20210101,0.8924,0.8924,0,,Detroit-Dearborn-Livonia MI
20020,20210101,0.6842,0.6842,0,,Dothan AL
20100,20210101,0.9949,0.9623,0,,Dover DE
20220,20210101,0.852,0.852,0,,Dubuque IA
20260,20210101,0.9917,0.9917,0,,Duluth MN-WI
20500,20210101,0.9625,0.9506,0,,Durham-Chapel Hill NC
20700,20210101,0.9345,0.8875,0,,East Stroudsburg PA
20740,20210101,0.9436,0.9144,0,,Eau Claire WI
20940,20210101,0.8884,0.8884,0,,El Centro CA
20994,20210101,1.0479,1.0209,0,,Elgin IL
21060,20210101,0.7981,0.7981,0,,Elizabethtown-Fort Knox KY
21140,20210101,0.9699,0.9699,0,,Elkhart-Goshen IN
21300,20210101,0.8746,0.8746,0,,Elmira NY
21340,20210101,0.7852,0.7852,0,,El Paso TX
21420,20210101,0.8645,0.8645,0,,Enid OK
21500,20210101,0.7714,0.7714,0,,Erie PA
21660,20210101,1.1705,1.1518,0,,Eugene-Springfield OR
21780,20210101,0.9254,0.8834,0,,Evansville IN-KY
21820,20210101,1.0332,1.0332,0,,Fairbanks AK
22020,20210101,0.8074,0.8074,0,,Fargo ND-MN
22140,20210101,0.9027,0.9027,0,,Farmington NM
22180,20210101,0.8012,0.8012,0,,Fayetteville NC
22220,20210101,0.8364,0.8135,0,,Fayetteville-Springdale-Rogers AR
22380,20210101,1.0045,1.0045,0,,Flagstaff AZ
22420,20210101,1.0793,0.9987,0,,Flint MI
22500,20210101,0.7927,0.7927,0,,Florence SC
22520,20210101,0.635,0.635,0,,Florence-Muscle Shoals AL
22540,20210101,0.8845,0.8845,0,,Fond du Lac WI
22660,20210101,0.9597,0.9597,0,,Fort Collins CO
22744,20210101,0.9302,0.9302,0,,Fort Lauderdale-Pompano Beach-Sunrise FL
22900,20210101,0.8342,0.8342,0,,Fort Smith AR-OK
23060,20210101,0.9071,0.9071,0,,Fort Wayne IN
23104,20210101,0.9572,0.9572,0,,Fort Worth-Arlington-Grapevine TX
23224,20210101,0.9581,0.9581,0,,Frederick-Gaithersburg-Rockville MD
23420,20210101,0.937,0.937,0,,Fresno CA
23460,20210101,0.6688,0.6688,0,,Gadsden AL
23540,20210101,0.8968,0.8707,0,,Gainesville FL
23580,20210101,0.9171,0.9171,0,,Gainesville GA
23844,20210101,0.9142,0.9142,0,,Gary IN
23900,20210101,1.0484,1.0484,0,,Gettysburg PA
24020,20210101,0.787,0.787,0,,Glens Falls NY
24140,20210101,0.9076,0.9076,0,,Goldsboro NC
24220,20210101,0.8487,0.8487,0,,Grand Forks ND-MN
24260,20210101,0.9504,0.9309,0,,Grand Island NE
24300,20210101,0.9488,0.9488,0,,Grand Junction CO
24340,20210101,0.933,0.9176,0,,Grand Rapids-Kentwood MI
24420,20210101,1.015,1.015,0,,Grants Pass OR
24500,20210101,0.8217,0.8217,0,,Great Falls MT
24540,20210101,0.9012,0.9012,0,,Greeley CO
24580,20210101,0.9201,0.9201,0,,Green Bay WI
24660,20210101,0.908,0.8703,0,,Greensboro-High Point NC
24780,20210101,0.9227,0.8893,0,,Greenville NC
24860,20210101,0.8889,0.8889,0,,Greenville-Anderson SC
25020,20210101,0.382,0.382,0,,Guayama PR
25060,20210101,0.7518,0.7518,0,,Gulfport-Biloxi MS
25180,20210101,0.8389,0.8389,0,,Hagerstown-Martinsburg MD-WV
25220,20210101,0.8215,0.8215,0,,Hammond LA
25260,20210101,1.076,1.076,0,,Hanford-Corcoran CA
25420,20210101,0.9151,0.9151,0,,Harrisburg-Carlisle PA
25500,20210101,0.9276,0.9276,0,,Harrisonburg VA
25540,20210101,1.0791,1.0791,0,,Hartford-East Hartford-Middletown CT
25620,20210101,0.7516,0.7516,0,,Hattiesburg MS
25860,20210101,0.8645,0.8438,0,,Hickory-Lenoir-Morganton NC
25940,20210101,0.7879,0.7879,0,,Hilton Head Island-Bluffton SC
25980,20210101,0.8995,0.8995,0,,Hinesville GA
26140,20210101,0.8572,0.8572,0,,Homosassa Springs FL
26300,20210101,0.8652,0.8652,0,,Hot Springs AR
26380,20210101,0.7165,0.7165,0,,Houma-Thibodaux LA
26420,20210101,1.0011,0.9908,0,,Houston-The Woodlands-Sugar Land TX
26580,20210101,0.8489,0.8489,0,,Huntington-Ashland WV-KY-OH
26620,20210101,0.8311,0.787,0,,Huntsville AL
26820,20210101,0.8597,0.8597,0,,Idaho Falls ID
26900,20210101,0.9917,0.9811,0,,Indianapolis-Carmel-Anderson IN
26980,20210101,0.9755,0.9137,0,,Iowa City IA
27060,20210101,0.9396,0.8878,0,,Ithaca NY
27100,20210101,0.8959,0.8959,0,,Jackson MI
27140,20210101,0.8124,0.7751,0,,Jackson MS
27180,20210101,0.7424,0.7424,0,,Jackson TN
27260,20210101,0.8658,0.8658,0,,Jacksonville FL
27340,20210101,0.7868,0.7868,0,,Jacksonville NC
27500,20210101,0.9126,0.9126,0,,Janesville-Beloit WI
27620,20210101,0.8307,0.8307,0,,Jefferson City MO
27740,20210101,0.7079,0.7079,0,,Johnson City TN
27780,20210101,0.816,0.816,0,,Johnstown PA
27860,20210101,0.7947,0.7703,0,,Jonesboro AR
27900,20210101,0.7883,0.7883,0,,Joplin MO
27980,20210101,1.2581,1.2581,0,,Kahului-Wailuku-Lahaina HI
28020,20210101,0.9539,0.9166,0,,Kalamazoo-Portage MI
28100,20210101,0.9019,0.8737,0,,Kankakee IL
28140,20210101,0.9006,0.9006,0,,Kansas City MO-KS
28420,20210101,1.0281,1.0281,0,,Kennewick-Richland WA
28660,20210101,0.9407,0.9407,0,,Killeen-Temple TX
28700,20210101,0.7016,0.7016,0,,Kingsport-Bristol TN-VA
28740,20210101,0.9414,0.9414,0,,Kingston NY
28940,20210101,0.7134,0.7134,0,,Knoxville TN
29020,20210101,0.9456,0.9456,0,,Kokomo IN
29100,20210101,0.9142,0.9142,0,,La Crosse-Onalaska WI-MN
