cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,imputedFloorWageIndex,name
01,20220101,0.6484,0.6484,0.6484,0,ALABAMA
02,20220101,1.2253,1.2253,1.2106,0,ALASKA
03,20220101,0.9411,0.9411,0.8228,0,ARIZONA
04,20220101,0.7132,0.7132,0.7132,0,ARKANSAS
05,20220101,1.2687,1.2687,1.2687,0,CALIFORNIA
06,20220101,0.9824,0.9104,0.9824,0,COLORADO
07,20220101,0.9882,0.9882,0.9882,1.2031,CONNECTICUT
08,20220101,0,0,0,1.0715,DELAWARE
09,20220101,0,0,0,1.1131,DISTRICT OF COLUMBIA
10,20220101,0.8027,0.7922,0.8027,0,FLORIDA
11,20220101,0.7549,0.7549,0.7549,0,GEORGIA
12,20220101,1.2012,1.2012,1.1952,0,HAWAII
13,20220101,0.8209,0.8209,0.7722,0,IDAHO
14,20220101,0.8433,0.8296,0.8433,0,ILLINOIS
15,20220101,0.8567,0.8567,0.8567,0,INDIANA
16,20220101,0.8228,0.8228,0.8063,0,IOWA
17,20220101,0.7824,0.7824,0.7824,0,KANSAS
18,20220101,0.8004,0.8004,0.8004,0,KENTUCKY
19,20220101,0.7008,0.7008,0.7008,0,LOUISIANA
20,20220101,0.8572,0.8572,0.8572,0,MAINE
21,20220101,0.8471,0.8471,0.8471,0,MARYLAND
22,20220101,1.3221,1.3221,1.2843,0,MASSACHUSETTS
23,20220101,0.8393,0.8393,0.8393,0,MICHIGAN
24,20220101,0.9418,0.9418,0.91,0,MINNESOTA
25,20220101,0.7209,0.7209,0.7209,0,MISSISSIPPI
26,20220101,0.7651,0.754,0.7651,0,MISSOURI
27,20220101,1,0.9118,1,0,MONTANA
28,20220101,0.8502,0.8335,0.8502,0,NEBRASKA
29,20220101,1.0093,1.0093,1.0093,0,NEVADA
30,20220101,1.07,1.0127,1.07,0,NEW HAMPSHIRE
31,20220101,0,0,0,1.1542,NEW JERSEY
32,20220101,0.8753,0.8414,0.8753,0,NEW MEXICO
33,20220101,0.8593,0.838,0.8593,0,NEW YORK
34,20220101,0.8002,0.7857,0.8002,0,NORTH CAROLINA
35,20220101,1,0.8542,1,0,NORTH DAKOTA
36,20220101,0.8076,0.8076,0.81,0,OHIO
37,20220101,0.7758,0.7758,0.7758,0,OKLAHOMA
38,20220101,1.0775,1.0775,1.0381,0,OREGON
39,20220101,0.8115,0.8115,0.8115,0,PENNSYLVANIA
40,20220101,0.3649,0.3649,0.3649,0.3649,PUERTO RICO
41,20220101,0,0,0,1.1296,RHODE ISLAND
42,20220101,0.8183,0.8183,0.8183,0,SOUTH CAROLINA
43,20220101,1,0.7909,1,0,SOUTH DAKOTA
44,20220101,0.7096,0.7096,0.7096,0,TENNESSEE
45,20220101,0.9085,0.9085,0.8061,0,TEXAS
46,20220101,1.0108,1.0108,0.902,0,UTAH
47,20220101,0.9499,0.8728,0.9499,0,VERMONT
49,20220101,0.7901,0.7638,0.7901,0,VIRGINIA
50,20220101,1.0986,0.9726,1.0986,0,WASHINGTON
51,20220101,0.7226,0.7226,0.7226,0,WEST VIRGINIA
52,20220101,0.9125,0.9027,0.9125,0,WISCONSIN
53,20220101,1,0.9146,1,0,WYOMING
98,20220101,1.9343,1.9343,0,0,ALASKA INDIAN
99,20220101,1.4448,1.4448,0,0,LOWER-48 INDIAN
10180,20220101,0.8202,0.8202,0,0,Abilene TX
10380,20220101,0.301,0.301,0,0,Aguadilla-Isabela PR
10420,20220101,0.832,0.832,0,0,Akron OH
10500,20220101,0.8371,0.8256,0,0,Albany GA
10540,20220101,1.083,1.083,0,0,Albany-Lebanon OR
