cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
30780,20230101,0.845,0.8228,0,Little Rock-North Little Rock-Conway AR
30860,20230101,0.9204,0.9204,0,Logan UT-ID
30980,20230101,0.8483,0.8483,0,Longview TX
31020,20230101,1.0856,1.0856,0,Longview WA
31084,20230101,1.297,1.2768,0,Los Angeles-Long Beach-Glendale CA
31140,20230101,0.8598,0.8598,0,Louisville/Jefferson County KY-IN
31180,20230101,0.8396,0.8396,0,Lubbock TX
31340,20230101,0.8194,0.8194,0,Lynchburg VA
31420,20230101,0.8845,0.8519,0,Macon-Bibb County GA
31460,20230101,0.8253,0.8253,0,Madera CA
31540,20230101,1.0451,1.0044,0,Madison WI
31700,20230101,0.9775,0.9775,0,Manchester-Nashua NH
31740,20230101,0.8562,0.8562,0,Manhattan KS
31860,20230101,1.0426,1.0426,0,Mankato MN
31900,20230101,0.897,0.897,0,Mansfield OH
32420,20230101,0.3331,0.3331,0,Mayag?ez PR
32580,20230101,0.7924,0.7924,0,McAllen-Edinburg-Mission TX
32780,20230101,1.0807,1.0807,0,Medford OR
32820,20230101,0.823,0.7974,0,Memphis TN-MS-AR
32900,20230101,1.3259,1.3259,0,Merced CA
33124,20230101,0.9175,0.9175,0,Miami-Miami Beach-Kendall FL
33140,20230101,0.9275,0.9275,0,Michigan City-La Porte IN
33220,20230101,0.9048,0.9048,0,Midland MI
33260,20230101,0.8317,0.8317,0,Midland TX
33340,20230101,0.9754,0.9634,0,Milwaukee-Waukesha WI
33460,20230101,1.0578,1.0358,0,Minneapolis-St. Paul-Bloomington MN-WI
33540,20230101,0.9169,0.8333,0,Missoula MT
33660,20230101,0.7419,0.7419,0,Mobile AL
33700,20230101,1.3161,1.3161,0,Modesto CA
33740,20230101,0.7486,0.7378,0,Monroe LA
33780,20230101,0.8236,0.8236,0,Monroe MI
33860,20230101,0.7596,0.7596,0,Montgomery AL
33874,20230101,0.9855,0.9855,0,Montgomery County-Bucks County-Chester County PA
34060,20230101,0.7876,0.7876,0,Morgantown WV
34100,20230101,0.6841,0.6841,0,Morristown TN
34580,20230101,1.0306,1.0306,0,Mount Vernon-Anacortes WA
34620,20230101,0.99,0.9285,0,Muncie IN
34740,20230101,0.8988,0.8988,0,Muskegon MI
34820,20230101,0.8446,0.8228,0,Myrtle Beach-Conway-North Myrtle Beach SC-NC
34900,20230101,1.5172,1.5172,0,Napa CA
34940,20230101,0.8841,0.8841,0,Naples-Marco Island FL
34980,20230101,0.8621,0.8492,0,Nashville-Davidson--Murfreesboro--Franklin TN
35004,20230101,1.3099,1.2724,0,Nassau County-Suffolk County NY
35084,20230101,1.0931,1.0615,0,Newark NJ-PA
35100,20230101,0.7791,0.7791,0,New Bern NC
35154,20230101,1.0954,1.0954,0,New Brunswick-Lakewood NJ
35300,20230101,1.1257,1.1083,0,New Haven-Milford CT
35380,20230101,0.8141,0.7984,0,New Orleans-Metairie LA
35614,20230101,1.3329,1.2984,0,New York-Jersey City-White Plains NY-NJ
35660,20230101,0.7856,0.7856,0,Niles MI
35840,20230101,0.9248,0.8769,0,North Port-Sarasota-Bradenton FL
35980,20230101,1.1904,1.1904,0,Norwich-New London CT
