apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
00701,K,20220101,003975.00,00795.00,00795.00
00726,K,20220101,000192.33,00038.47,00038.47
00731,K,20220101,000051.55,00010.31,00010.31
00736,K,20220101,000028.75,00005.75,00005.75
00738,K,20220101,000315.06,00063.02,00063.02
00751,K,20220101,000011.74,00002.35,00002.35
00752,K,20220101,000890.64,00178.13,00178.13
00759,K,20220101,000003.53,00000.71,00000.71
00800,K,20220101,001406.37,00281.28,00281.28
00802,K,20220101,000075.63,00015.13,00015.13
00807,K,20220101,003795.26,00759.06,00759.06
00810,K,20220101,000525.21,00105.05,00105.05
00812,K,20220101,001234.46,00246.90,00246.90
00820,K,20220101,000040.36,00008.08,00008.08
00825,K,20220101,000155.90,00031.18,00031.18
00836,K,20220101,000033.24,00006.65,00006.65
00840,K,20220101,000208.41,00041.69,00041.69
00843,K,20220101,021561.05,04312.21,04312.21
00844,K,20220101,001880.67,00376.14,00376.14
00850,K,20220101,000348.51,00069.71,00069.71
00851,K,20220101,000305.84,00061.17,00061.17
00856,K,20220101,021856.35,04371.28,04371.28
00858,K,20220101,000018.02,00003.61,00003.61
00864,K,20220101,000026.29,00005.26,00005.26
00874,K,20220101,000011.24,00002.25,00002.25
00875,K,20220101,000138.82,00027.77,00027.77
00877,K,20220101,000148.74,00029.75,00029.75
00887,K,20220101,000245.02,00049.01,00049.01
00890,K,20220101,002355.53,00471.11,00471.11
00901,K,20220101,000004.54,00000.91,00000.91
00902,K,20220101,000006.09,00001.22,00001.22
00903,K,20220101,001538.70,00307.74,00307.74
00910,K,20220101,000406.24,00081.25,00081.25
00925,K,20220101,000001.12,00000.23,00000.23
00927,K,20220101,000001.43,00000.29,00000.29
00928,K,20220101,000001.54,00000.31,00000.31
00929,K,20220101,000002.21,00000.45,00000.45
00931,K,20220101,000001.17,00000.24,00000.24
00932,K,20220101,000001.61,00000.33,00000.33
00943,K,20220101,000041.63,00008.33,00008.33
00944,K,20220101,000044.49,00008.90,00008.90
00946,K,20220101,000070.94,00014.19,00014.19
00947,K,20220101,000036.80,00007.37,00007.37
00948,K,20220101,000048.22,00009.65,00009.65
00961,K,20220101,000010.49,00002.10,00002.10
00963,K,20220101,000052.45,00010.49,00010.49
00964,K,20220101,000020.98,00004.20,00004.20
00965,K,20220101,000052.45,00010.49,00010.49
01015,K,20220101,000141.29,00028.26,00028.26
01064,K,20220101,000020.12,00004.03,00004.03
01083,K,20220101,001581.57,00316.32,00316.32
01138,K,20220101,000071.24,00014.25,00014.25
01139,K,20220101,000015.13,00003.03,00003.03
01142,K,20220101,043467.03,08693.41,08693.41
01150,K,20220101,000013.34,00002.67,00002.67
01168,K,20220101,000038.25,00007.65,00007.65
01178,K,20220101,000001.71,00000.35,00000.35
01203,K,20220101,000011.25,00002.26,00002.26
01207,K,20220101,000205.37,00041.08,00041.08
01213,K,20220101,000001.14,00000.23,00000.23
01214,K,20220101,000044.48,00008.90,00008.90
01232,K,20220101,000038.63,00007.73,00007.73
01235,K,20220101,001425.37,00285.08,00285.08
01237,K,20220101,000015.84,00003.17,00003.17
01263,K,20220101,000003.20,00000.65,00000.65
01268,K,20220101,000001.33,00000.27,00000.27
01274,K,20220101,005708.59,01141.72,01141.72
01281,K,20220101,000001.76,00000.36,00000.36
01289,K,20220101,000008.41,00001.69,00001.69
01295,K,20220101,017259.85,03451.98,03451.98
01296,K,20220101,000004.12,00000.83,00000.83
01297,K,20220101,000001.00,00000.20,00000.20
01311,K,20220101,000115.61,00023.13,00023.13
01312,K,20220101,000011.58,00002.32,00002.32
01327,K,20220101,000044.05,00008.81,00008.81
01331,K,20220101,000002.91,00000.59,00000.59
01340,K,20220101,000056.66,00011.34,00011.34
01341,K,20220101,000125.22,00025.05,00025.05
01352,K,20220101,000001.16,00000.24,00000.24
01353,K,20220101,000047.57,00009.52,00009.52
01408,K,20220101,000029.15,00005.84,00005.84
01413,K,20220101,000180.35,00036.07,00036.07
01415,K,20220101,000004.95,00000.99,00000.99
01416,K,20220101,000009.14,00001.83,00001.83
01417,K,20220101,001219.00,00243.80,00243.80
01420,K,20220101,000917.94,00183.59,00183.59
01421,K,20220101,000311.04,00062.21,00062.21
01426,K,20220101,000123.93,00024.79,00024.79
01431,K,20220101,005190.15,01038.03,01038.03
01433,K,20220101,003100.79,00620.16,00620.16
01440,K,20220101,000009.40,00001.89,00001.89
01442,K,20220101,000010.00,00002.00,00002.00
01443,K,20220101,000204.96,00041.00,00041.00
01446,K,20220101,000006.73,00001.35,00001.35
01458,K,20220101,000416.00,00083.21,00083.21
01466,K,20220101,003370.23,00674.05,00674.05
01467,K,20220101,000001.54,00000.31,00000.31
01468,K,20220101,000006.01,00001.21,00001.21
01469,K,20220101,000000.97,00000.20,00000.20
01471,K,20220101,000013.56,00002.72,00002.72
01472,K,20220101,000055.29,00011.06,00011.06
01474,K,20220101,000006.27,00001.26,00001.26
01475,K,20220101,000016.82,00003.37,00003.37
01476,K,20220101,000064.54,00012.91,00012.91
01478,K,20220101,000001.30,00000.26,00000.26
01480,K,20220101,000250.33,00050.07,00050.07
01482,K,20220101,000003.15,00000.64,00000.64
01485,K,20220101,000001.00,00000.20,00000.20
01486,K,20220101,000003.28,00000.66,00000.66
01488,K,20220101,000062.69,00012.54,00012.54
01489,K,20220101,000021.28,00004.26,00004.26
01490,K,20220101,000052.75,00010.56,00010.56
