apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
05362,J1,20210101,008907.66,01781.54,01781.54
05371,T,20210101,000266.14,00053.23,00053.23
05372,T,20210101,000574.77,00114.96,00114.96
05373,J1,20210101,001792.99,00358.60,00358.60
05374,J1,20210101,003076.34,00615.27,00615.27
05375,J1,20210101,004413.90,00882.78,00882.78
05376,J1,20210101,008258.13,01651.63,01651.63
05377,J1,20210101,011488.02,02297.61,02297.61
05378,J1,20210101,018258.35,03651.68,03651.68
05401,S,20210101,000654.34,00130.87,00130.87
05411,T,20210101,000170.32,00034.07,00034.07
05412,T,20210101,000281.48,00056.30,00056.30
05413,T,20210101,000633.41,00126.69,00126.69
05414,J1,20210101,002623.21,00524.65,00524.65
05415,J1,20210101,004409.54,00902.82,00881.91
05416,J1,20210101,006794.31,01405.70,01358.87
05431,J1,20210101,001754.39,00350.88,00350.88
05432,J1,20210101,005700.29,01140.06,01140.06
05441,T,20210101,000261.17,00052.24,00052.24
05442,T,20210101,000634.59,00126.92,00126.92
05443,T,20210101,000822.46,00164.50,00164.50
05461,J1,20210101,003275.30,00655.06,00655.06
05462,J1,20210101,006160.68,01232.14,01232.14
05463,J1,20210101,011236.21,02247.25,02247.25
05464,J1,20210101,020479.78,04095.96,04095.96
05465,J1,20210101,029444.52,05888.91,05888.91
05471,J1,20210101,017031.90,03406.38,03406.38
05481,T,20210101,000503.86,00100.90,00100.78
05491,J1,20210101,002079.16,00415.84,00415.84
05492,J1,20210101,003917.74,00783.55,00783.55
05493,J1,20210101,007335.86,01467.18,01467.18
05494,J1,20210101,015009.38,03001.88,03001.88
05495,J1,20210101,020766.56,04153.32,04153.32
05501,T,20210101,000261.28,00052.26,00052.26
05502,T,20210101,000809.54,00161.91,00161.91
05503,J1,20210101,002002.35,00400.48,00400.48
05504,J1,20210101,003305.45,00661.09,00661.09
05521,S,20210101,000080.90,00016.19,00016.19
05522,S,20210101,000108.97,00021.80,00021.80
05523,S,20210101,000230.13,00046.03,00046.03
05524,S,20210101,000482.89,00096.58,00096.58
05571,S,20210101,000178.55,00035.72,00035.72
05572,S,20210101,000368.12,00073.63,00073.63
05573,S,20210101,000715.18,00143.04,00143.04
05591,S,20210101,000377.12,00075.43,00075.43
05592,S,20210101,000489.40,00097.88,00097.88
05593,S,20210101,001305.94,00261.19,00261.19
05594,S,20210101,001480.34,00296.07,00296.07
05611,S,20210101,000126.87,00032.03,00025.38
05612,S,20210101,000338.68,00067.74,00067.74
05613,S,20210101,001262.18,00252.44,00252.44
05621,S,20210101,000120.54,00024.11,00024.11
05622,S,20210101,000241.68,00048.34,00048.34
05623,S,20210101,000542.55,00108.52,00108.52
05624,S,20210101,000708.46,00141.70,00141.70
05625,S,20210101,001297.92,00259.59,00259.59
05626,S,20210101,001733.74,00346.75,00346.75
05627,J1,20210101,007772.76,01554.56,01554.56
05661,S,20210101,000249.62,00049.93,00049.93
05671,S,20210101,000049.76,00009.96,00009.96
05672,S,20210101,000149.16,00029.84,00029.84
05673,S,20210101,000291.26,00058.26,00058.26
05674,S,20210101,000656.15,00131.23,00131.23
05691,S,20210101,000040.00,00008.00,00008.00
05692,S,20210101,000061.97,00012.40,00012.40
05693,S,20210101,000203.50,00040.70,00040.70
05694,S,20210101,000310.75,00062.16,00062.16
05721,S,20210101,000139.55,00027.91,00027.91
05722,S,20210101,000264.45,00052.89,00052.89
05723,S,20210101,000487.78,00097.56,00097.56
05724,S,20210101,000919.82,00183.97,00183.97
05731,S,20210101,000024.67,00004.94,00004.94
05732,S,20210101,000033.84,00006.77,00006.77
05733,S,20210101,000055.66,00011.14,00011.14
05734,S,20210101,000111.95,00022.39,00022.39
05735,S,20210101,000270.22,00054.05,00054.05
05741,S,20210101,000037.15,00007.44,00007.44
05742,S,20210101,000100.31,00020.07,00020.07
05743,S,20210101,000272.47,00054.50,00054.50
05771,S,20210101,000116.06,00023.22,00023.22
05781,S,20210101,000561.91,00112.39,00112.39
05791,S,20210101,000187.88,00037.58,00037.58
05801,S,20210101,000485.26,00097.06,00097.06
05811,S,20210101,000026.55,00005.32,00005.32
05821,S,20210101,000026.23,00005.25,00005.25
05822,S,20210101,000074.87,00014.98,00014.98
05823,S,20210101,000133.63,00026.73,00026.73
05853,P,20210101,000139.75,00027.96,00027.96
05863,P,20210101,000260.49,00052.10,00052.10
05871,S,20210101,001393.53,00278.71,00278.71
05881,J1,20210101,008744.90,01748.99,01748.99
07000,K,20210101,001135.69,00227.14,00227.14
07035,K,20210101,002645.71,00529.15,00529.15
07041,K,20210101,000002.19,00000.44,00000.44
07043,K,20210101,000047.62,00009.53,00009.53
07046,K,20210101,000315.73,00063.15,00063.15
07048,K,20210101,000087.15,00017.44,00017.44
07308,K,20210101,000394.75,00078.96,00078.96
08004,S,20210101,000298.34,00059.67,00059.67
08005,S,20210101,000224.33,00044.87,00044.87
08006,S,20210101,000435.13,00087.03,00087.03
08007,S,20210101,000522.79,00104.56,00104.56
08008,S,20210101,000843.16,00168.64,00168.64
08010,S,20210101,000260.49,00052.10,00052.10
08011,J2,20210101,002283.16,00456.64,00456.64
09002,K,20210101,000129.26,00025.86,00025.86
09003,K,20210101,001838.68,00367.74,00367.74
09005,K,20210101,002386.30,00477.26,00477.26
09006,K,20210101,000211.97,00042.40,00042.40
09012,K,20210101,000022.06,00004.42,00004.42
09015,K,20210101,000009.92,00001.99,00001.99
09016,K,20210101,003044.01,00608.81,00608.81
09018,K,20210101,000011.93,00002.39,00002.39
09024,K,20210101,000009.36,00001.88,00001.88
09028,K,20210101,002341.50,00468.30,00468.30
09029,K,20210101,000093.12,00018.63,00018.63
09030,G,20210101,000078.99,00015.80,00015.80
09032,K,20210101,000171.59,00034.32,00034.32
09033,K,20210101,000666.25,00133.25,00133.25
09034,K,20210101,000014.02,00002.81,00002.81
09035,G,20210101,095380.00,79076.00,79076.00
09036,G,20210101,000044.55,00008.91,00008.91
09038,K,20210101,000325.62,00065.13,00065.13
09042,K,20210101,000211.79,00042.36,00042.36
09043,K,20210101,000001.34,00000.27,00000.27
09044,K,20210101,000316.20,00063.24,00063.24
09058,K,20210101,001207.16,00241.44,00241.44
09059,K,20210101,000001.78,00000.36,00000.36
09063,K,20210101,000151.41,00030.29,00030.29
09065,K,20210101,000001.31,00000.27,00000.27
09067,G,20210101,000266.59,00053.32,00053.32
09069,K,20210101,000047.33,00009.47,00009.47
09070,G,20210101,002883.20,00576.64,00576.64
09071,K,20210101,000003.25,00000.65,00000.65
09073,G,20210101,001743.48,00348.70,00348.70
09074,K,20210101,000015.88,00003.18,00003.18
09075,K,20210101,000001.22,00000.25,00000.25
09077,K,20210101,000001.54,00000.31,00000.31
09078,K,20210101,000001.54,00000.31,00000.31
09079,K,20210101,000016.92,00003.39,00003.39
09087,K,20210101,000002.87,00000.58,00000.58
09088,K,20210101,000012.00,00002.40,00002.40
09093,K,20210101,000115.40,00023.08,00023.08
09094,K,20210101,000222.09,00044.42,00044.42
09095,K,20210101,000003.19,00000.64,00000.64
09096,G,20210101,000000.86,00000.18,00000.18
09097,G,20210101,000008.61,00001.73,00001.73
09099,G,20210101,000695.77,00139.16,00139.16
09104,K,20210101,000817.12,00163.43,00163.43
09108,K,20210101,001740.23,00348.05,00348.05
09119,K,20210101,003571.68,00714.34,00714.34
09120,K,20210101,000052.74,00010.55,00010.55
09122,K,20210101,000385.61,00077.13,00077.13
09125,K,20210101,000010.53,00002.11,00002.11
09126,K,20210101,000021.63,00004.33,00004.33
09130,K,20210101,000070.49,00014.10,00014.10
09131,K,20210101,000032.79,00006.56,00006.56
09132,K,20210101,000002.09,00000.42,00000.42
09133,K,20210101,000273.04,00054.61,00054.61
09134,K,20210101,000331.80,00066.37,00066.37
09135,K,20210101,001703.97,00340.80,00340.80
09139,K,20210101,000303.24,00060.65,00060.65
09140,K,20210101,000227.53,00045.51,00045.51
09171,K,20210101,000004.44,00000.89,00000.89
09172,G,20210101,000001.11,00000.23,00000.23
09173,G,20210101,000269.04,00053.81,00053.81
09174,G,20210101,000017.23,00003.45,00003.45
09178,K,20210101,000001.78,00000.36,00000.36
09179,G,20210101,000002.86,00000.58,00000.58
09180,G,20210101,000097.84,00019.57,00019.57
09181,G,20210101,000010.18,00002.04,00002.04
09182,G,20210101,000203.88,00040.78,00040.78
09183,G,20210101,000003.11,00000.63,00000.63
09186,K,20210101,000092.56,00018.52,00018.52
09187,K,20210101,000361.90,00072.38,00072.38
09188,K,20210101,001264.21,00252.85,00252.85
09189,K,20210101,000063.62,00012.73,00012.73
09192,K,20210101,000022.04,00004.41,00004.41
09193,G,20210101,000000.62,00000.13,00000.13
09194,G,20210101,029813.31,85962.67,85962.67
09195,G,20210101,000286.67,00057.34,00057.34
09196,K,20210101,000007.20,00001.44,00001.44
09197,G,20210101,000002.25,00000.45,00000.45
09198,G,20210101,000291.50,00058.30,00058.30
09199,G,20210101,000690.68,00138.14,00138.14
09207,K,20210101,000044.97,00009.00,00009.00
09208,K,20210101,000188.99,00037.80,00037.80
09209,K,20210101,000033.10,00006.63,00006.63
09213,K,20210101,000071.81,00014.37,00014.37
09214,K,20210101,000076.36,00015.28,00015.28
09215,K,20210101,000064.29,00012.86,00012.86
09217,K,20210101,000224.45,00044.90,00044.90
09224,K,20210101,000405.76,00081.16,00081.16
09225,K,20210101,000340.62,00068.13,00068.13
09227,K,20210101,000001.18,00000.24,00000.24
09228,K,20210101,000001.38,00000.28,00000.28
09229,K,20210101,000051.00,00010.20,00010.20
09230,K,20210101,000058.10,00011.63,00011.63
09231,K,20210101,000004.26,00000.86,00000.86
09233,K,20210101,000324.27,00064.86,00064.86
09234,K,20210101,000073.81,00014.77,00014.77
09235,K,20210101,000123.55,00024.72,00024.72
09236,K,20210101,000230.48,00046.10,00046.10
09237,K,20210101,000068.48,00013.70,00013.70
09239,G,20210101,001743.48,00348.70,00348.70
09240,K,20210101,000101.19,00020.24,00020.24
09242,K,20210101,000000.79,00000.16,00000.16
09243,K,20210101,000024.69,00004.94,00004.94
09245,K,20210101,000078.43,00015.69,00015.69
09251,K,20210101,000056.20,00011.24,00011.24
09252,K,20210101,000365.29,00073.06,00073.06
09253,K,20210101,000010.38,00002.08,00002.08
09255,K,20210101,000012.10,00002.43,00002.43
09256,K,20210101,000199.76,00039.96,00039.96
09257,G,20210101,000047.47,00009.50,00009.50
09258,K,20210101,000005.14,00001.03,00001.03
09259,K,20210101,000311.22,00062.25,00062.25
09260,K,20210101,000061.94,00012.39,00012.39
09261,K,20210101,000184.36,00036.88,00036.88
09263,K,20210101,000494.69,00098.94,00098.94
09264,K,20210101,000005.40,00001.09,00001.09
09265,K,20210101,000336.54,00067.31,00067.31
09269,K,20210101,000054.13,00010.83,00010.83
09270,K,20210101,000053.66,00010.74,00010.74
09271,K,20210101,000346.15,00069.23,00069.23
09272,K,20210101,000020.12,00004.03,00004.03
09273,K,20210101,049671.77,09934.36,09934.36
09274,K,20210101,003043.75,00608.75,00608.75
09276,K,20210101,000181.51,00036.31,00036.31
09278,K,20210101,000005.02,00001.01,00001.01
09281,K,20210101,002801.08,00560.22,00560.22
09284,K,20210101,000157.38,00031.48,00031.48
09286,K,20210101,000003.78,00000.76,00000.76
09287,K,20210101,000175.28,00035.06,00035.06
09289,K,20210101,000427.27,00085.46,00085.46
09294,K,20210101,000040.86,00008.18,00008.18
09295,K,20210101,000039.20,00007.84,00007.84
09296,K,20210101,000008.07,00001.62,00001.62
09297,K,20210101,000002.98,00000.60,00000.60
09298,K,20210101,001046.93,00209.39,00209.39
09299,G,20210101,000002.02,00000.41,00000.41
09300,K,20210101,000037.70,00007.54,00007.54
09301,K,20210101,000001.53,00000.31,00000.31
09302,K,20210101,000197.79,00039.56,00039.56
09304,G,20210101,000027.40,00005.49,00005.49
09305,G,20210101,000022.46,00004.50,00004.50
09306,G,20210101,000135.67,00027.14,00027.14
09307,G,20210101,000001.23,00000.25,00000.25
09308,G,20210101,000139.55,00027.91,00027.91
09309,G,20210101,000270.59,00054.12,00054.12
09310,G,20210101,000441.59,00088.32,00088.32
09311,G,20210101,000003.15,00000.63,00000.63
09312,G,20210101,000226.28,00045.26,00045.26
09313,G,20210101,000021.61,00004.33,00004.33
09314,G,20210101,000075.08,00015.02,00015.02
09318,K,20210101,000010.81,00002.17,00002.17
09319,K,20210101,000084.13,00016.83,00016.83
09320,K,20210101,000213.10,00042.62,00042.62
09323,G,20210101,000008.64,00000.00,00000.00
09327,G,20210101,000009.01,00001.81,00001.81
09328,K,20210101,000491.13,00098.23,00098.23
09329,G,20210101,000060.94,00012.19,00012.19
09330,G,20210101,000078.72,00015.75,00015.75
09331,G,20210101,000110.72,00022.15,00022.15
09332,G,20210101,000000.72,00000.15,00000.15
09333,G,20210101,000076.91,00015.39,00015.39
09334,G,20210101,000002.00,00000.40,00000.40
09336,G,20210101,000068.80,00013.76,00013.76
09337,G,20210101,000004.39,00000.88,00000.88
09339,G,20210101,000320.12,00064.03,00064.03
09340,G,20210101,000311.99,00062.40,00062.40
09341,G,20210101,000076.41,00015.29,00015.29
09343,G,20210101,000106.88,00021.38,00021.38
09345,G,20210101,000305.55,00061.12,00061.12
09346,G,20210101,000010.25,00002.06,00002.06
09347,G,20210101,000036.32,00007.27,00007.27
09348,G,20210101,000062.24,00012.45,00012.45
09349,G,20210101,000091.52,00018.31,00018.31
09350,G,20210101,000083.10,00016.63,00016.63
09351,G,20210101,000200.85,00040.17,00040.17
09352,K,20210101,000165.22,00033.05,00033.05
09353,G,20210101,000024.14,00004.83,00004.83
09354,G,20210101,000002.29,00000.46,00000.46
09355,G,20210101,000315.88,00063.18,00063.18
09356,G,20210101,000166.33,00033.27,00033.27
09357,G,20210101,000015.40,00003.08,00003.08
09359,G,20210101,000122.41,00024.49,00024.49
09361,G,20210101,000015.45,00003.09,00003.09
09362,G,20210101,000002.26,00000.46,00000.46
09364,G,20210101,000027.96,00005.60,00005.60
09367,G,20210101,000070.90,00014.18,00014.18
09370,G,20210101,000000.75,00000.00,00000.00
09371,G,20210101,000003.26,00000.00,00000.00
09372,K,20210101,000014.22,00002.85,00002.85
09373,K,20210101,001363.28,44272.86,44272.86
09374,G,20210101,000275.22,00055.05,00055.05
09375,K,20210101,000026.96,00005.40,00005.40
09376,G,20210101,000028.79,00005.76,00005.76
09377,G,20210101,000066.67,00013.34,00013.34
09378,G,20210101,000043.34,00008.67,00008.67
09379,G,20210101,000329.46,00065.90,00065.90
09380,G,20210101,000000.97,00000.20,00000.20
09381,G,20210101,000051.50,00010.30,00010.30
09382,G,20210101,000092.30,00018.46,00018.46
09383,G,20210101,000901.25,00000.00,00000.00
09384,G,20210101,000042.63,00008.53,00008.53
09385,G,20210101,000006.18,00001.24,00001.24
09386,G,20210101,000058.09,00011.62,00011.62
09387,G,20210101,000039.14,00007.83,00007.83
09388,G,20210101,000025.38,00005.08,00005.08
09389,G,20210101,000170.80,00034.16,00034.16
09390,G,20210101,000072.71,00014.55,00014.55
09391,G,20210101,014190.00,76838.00,76838.00
09392,G,20210101,000481.77,00096.36,00096.36
09393,K,20210101,000135.64,00027.13,00027.13
09394,K,20210101,000449.77,00089.96,00089.96
09395,K,20210101,000002.59,00000.52,00000.52
09396,K,20210101,003218.90,00643.78,00643.78
09397,S,20210401,000040.00,00000.00,00000.00
09398,S,20210401,000040.00,00000.00,00000.00
09399,K,20210101,000148.73,00000.00,00000.00
09400,S,20210315,000400.00,00000.00,00000.00
09441,K,20210101,000001.11,00000.23,00000.23
09445,K,20210101,000029.11,00005.83,00005.83
09448,K,20210101,000270.10,00054.03,00054.03
09449,K,20210101,000118.59,00023.72,00023.72
09450,K,20210101,000490.87,00098.18,00098.18
09451,K,20210101,000001.60,00000.32,00000.32
09452,K,20210101,000006.49,00001.30,00001.30
09453,K,20210101,000028.56,00005.72,00005.72
09454,K,20210101,000332.59,00066.52,00066.52
09455,K,20210101,000111.94,00022.39,00022.39
09456,K,20210101,000000.78,00000.16,00000.16
09460,K,20210101,000015.32,00003.07,00003.07
09462,G,20210101,000000.28,00000.06,00000.06
09463,G,20210101,000001.73,00000.35,00000.35
09466,G,20210101,000170.11,00034.03,00034.03
09467,G,20210101,000041.14,00008.23,00008.23
09468,G,20210101,000004.01,00000.81,00000.81
09469,G,20210101,000018.20,00003.65,00003.65
09470,K,20210101,000002.85,00000.57,00000.57
09471,K,20210101,000031.67,00006.34,00006.34
09472,K,20210101,000053.92,00010.79,00010.79
09473,K,20210101,000028.70,00005.75,00005.75
09474,K,20210101,000054.33,00010.87,00010.87
09475,K,20210101,000005.73,00001.15,00001.15
09476,K,20210101,000056.29,00011.26,00011.26
09477,K,20210101,000006.67,00001.34,00001.34
09478,K,20210101,000541.13,00108.23,00108.23
09479,K,20210101,000029.97,00006.00,00006.00
09480,K,20210101,000318.93,00063.79,00063.79
09481,K,20210101,000009.76,00001.96,00001.96
09482,K,20210101,000016.00,00003.20,00003.20
09483,K,20210101,000078.28,00015.66,00015.66
09485,K,20210101,000052.07,00010.42,00010.42
09487,K,20210101,000012.03,00002.41,00002.41
09488,K,20210101,000032.57,00006.52,00006.52
09489,K,20210101,001122.51,00224.51,00224.51
09490,K,20210101,000039.65,00007.93,00007.93
09491,K,20210101,000084.70,00016.94,00016.94
09492,K,20210101,000076.02,00015.21,00015.21
09493,K,20210101,000019.89,00003.98,00003.98
09494,K,20210101,000057.38,00011.48,00011.48
09495,K,20210101,000205.38,00041.08,00041.08
09500,R,20210101,000141.69,00028.34,00028.34
09501,R,20210101,000486.80,00097.36,00097.36
09502,R,20210101,000604.89,00120.98,00120.98
09503,R,20210101,000065.08,00013.02,00013.02
09504,R,20210101,000436.65,00087.34,00087.34
09505,R,20210101,000169.31,00033.87,00033.87
09507,R,20210101,000323.99,00064.80,00064.80
09508,R,20210101,000082.66,00016.54,00016.54
09509,R,20210101,000089.15,00017.83,00017.83
09510,R,20210101,000150.14,00030.03,00030.03
09511,R,20210101,000079.85,00015.97,00015.97
09512,R,20210101,000188.51,00037.71,00037.71
09513,R,20210101,000071.15,00014.23,00014.23
09514,R,20210101,000007.99,00001.60,00001.60
09515,R,20210101,000071.29,00014.26,00014.26
09516,R,20210101,000200.00,00040.01,00040.01
09517,R,20210101,000137.63,00027.53,00027.53
09518,R,20210101,000379.86,00075.98,00075.98
09519,R,20210101,000160.34,00032.07,00032.07
09520,R,20210101,000147.58,00029.52,00029.52
09521,R,20210101,000213.19,00042.64,00042.64
09522,R,20210101,000260.55,00052.11,00052.11
09523,R,20210101,000065.70,00013.14,00013.14
09524,R,20210101,000212.23,00042.45,00042.45
09525,R,20210101,000805.18,00161.04,00161.04
09526,R,20210101,000149.92,00029.99,00029.99
09527,R,20210101,000310.70,00062.14,00062.14
